                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     75,                 1.2459,                 2.7737,                 1.8401,                0.96045,                0.76618,                0.37215,                0.41372,                0.31938,                0.74846,                0.35648,                0.38903,                0.25986,                 1.2557,                 3.0602,                 1.6783,                0.92973,              0.0087166,              0.0087166,              0.0087166
                     76,                 1.2559,                 2.7474,                 1.8386,                0.96664,                0.75181,                0.36214,                0.40463,                0.31621,                0.80113,                0.33622,                0.38437,                0.25623,                 1.2565,                 3.1041,                 1.7366,                0.92886,              0.0086962,              0.0086962,              0.0086962
                     77,                 1.2495,                 2.8033,                 1.8314,                  0.963,                0.75996,                0.36638,                 0.4082,                0.31724,                0.73059,                0.35597,                 0.3881,                0.25697,                 1.2599,                 3.0438,                 1.6934,                0.93305,              0.0086759,              0.0086759,              0.0086759
                     78,                 1.2505,                 2.7915,                 1.8382,                0.96125,                0.80403,                 0.3593,                0.40641,                0.31586,                 0.7824,                0.34977,                0.38688,                0.25709,                 1.2481,                 3.0487,                 1.6869,                0.93176,              0.0086556,              0.0086556,              0.0086556
                     79,                  1.241,                  2.766,                 1.8234,                0.95821,                 0.8305,                0.35715,                0.41266,                0.31949,                 0.7992,                0.34635,                0.39358,                0.26368,                 1.2514,                 3.0627,                  1.701,                0.93183,              0.0086353,              0.0086353,              0.0086353
                     80,                 1.2534,                 2.7752,                 1.8123,                0.95978,                0.77833,                0.36162,                 0.4073,                0.31281,                 0.7769,                0.34468,                0.38485,                0.25407,                 1.2689,                 3.0632,                 1.7168,                0.93654,               0.008615,               0.008615,               0.008615
                     81,                 1.2535,                 2.7833,                 1.8135,                0.96216,                0.77643,                0.37552,                0.41546,                0.32275,                0.75174,                0.36186,                0.39372,                0.25963,                 1.2461,                  3.066,                 1.6565,                0.92489,              0.0085946,              0.0085946,              0.0085946
                     82,                 1.2306,                 2.7504,                  1.789,                0.95406,                0.77251,                0.37212,                0.41303,                0.32105,                0.76667,                 0.3545,                0.38813,                0.26148,                  1.244,                  3.053,                 1.6573,                0.92292,              0.0085743,              0.0085743,              0.0085743
                     83,                 1.2286,                 2.7714,                  1.767,                0.95275,                0.76133,                0.37021,                0.41198,                0.31675,                0.75827,                0.35267,                0.38709,                 0.2572,                 1.2483,                 3.0574,                 1.6595,                0.92662,               0.008554,               0.008554,               0.008554
                     84,                 1.2435,                 2.7521,                 1.8117,                0.95998,                0.78293,                0.36975,                0.41328,                 0.3186,                0.77152,                0.35369,                0.39303,                0.26112,                 1.2323,                 3.0292,                 1.6585,                 0.9255,              0.0085337,              0.0085337,              0.0085337
                     85,                 1.2294,                 2.7395,                 1.7967,                0.95837,                0.78086,                0.37098,                0.41569,                 0.3229,                0.76037,                 0.3546,                0.39208,                0.26276,                 1.2335,                  3.035,                 1.6464,                0.91851,              0.0085134,              0.0085134,              0.0085134
                     86,                 1.2269,                 2.7156,                 1.7793,                0.95479,                 0.7911,                0.36922,                0.41371,                0.31803,                0.75007,                0.36355,                0.39491,                0.26002,                 1.2602,                 3.0678,                 1.6859,                0.93547,               0.008493,               0.008493,               0.008493
                     87,                  1.229,                 2.7755,                 1.7754,                0.95487,                 0.7863,                0.37114,                0.41705,                0.32301,                0.77993,                0.35426,                0.39461,                0.26082,                   1.23,                 2.9968,                 1.6194,                0.92015,              0.0084727,              0.0084727,              0.0084727
